Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
23;2;4;4;3;2;2;1;3;4;1;2;300;5;4;4;4;3;4;
54;2;4;5;3;5;1;2;3;4;1;2;50;4;5;4;4;4;1;
28;1;3;6;5;2;2;3;3;4;1;2;1000;2;5;5;3;3;4;
28;1;3;5;3;2;2;6;3;4;1;2;300;5;5;5;4;3;3;
25;1;2;4;5;2;1;4;4;3;1;2;150;5;5;4;4;4;2;
18;1;1;4;5;2;1;4;4;4;1;2;500;5;5;3;1;4;1;
45;1;3;4;6;2;1;4;2;4;2;2;300;2;4;4;4;3;2;
47;1;4;5;3;2;2;4;4;4;1;2;500;5;4;4;2;4;2;
18;1;1;5;5;1;1;8;4;4;1;2;400;5;5;4;3;1;2;
51;1;3;2;3;2;2;2;2;4;1;2;500;5;5;4;5;4;3;
51;1;3;4;3;2;1;2;3;3;1;2;100;4;4;4;4;4;1;
43;1;4;4;3;4;1;5;3;4;1;2;300;5;4;4;5;4;2;
41;1;4;4;3;1;1;3;3;5;1;2;15000;4;5;4;3;2;2;
55;1;4;4;6;1;1;2;4;3;1;2;250;4;4;4;2;5;7;
19;1;4;5;5;2;1;8;4;3;1;2;50;5;5;4;2;3;2;
18;1;4;5;3;1;2;3;2;4;1;2;300;4;5;5;2;3;3;
19;1;1;5;5;2;1;5;3;4;1;1;100;5;5;4;1;1;1;
42;2;4;4;6;1;1;2;2;3;1;2;100;2;2;4;3;3;2;
27;1;2;4;5;4;1;3;2;3;1;2;100;4;5;4;3;4;2;
39;1;4;2;3;1;2;1;2;5;1;2;200;5;5;5;2;2;1;
29;2;3;6;4;2;2;1;3;4;1;2;200;4;5;5;5;1;1;
18;2;4;4;5;2;1;2;2;3;2;2;200;4;4;5;3;2;2;
18;2;1;4;3;2;2;3;2;4;2;2;200;5;5;4;4;5;2;
18;2;1;5;4;2;2;4;2;3;1;2;100;4;3;4;2;4;1;
57;2;4;4;1;2;1;1;2;4;2;2;2000;4;5;2;2;3;1;
55;2;4;4;6;2;1;1;2;4;2;1;2000;5;5;4;2;1;1;
56;2;4;5;5;2;1;5;2;4;1;2;100;4;5;2;1;2;3;
50;1;4;5;3;1;1;1;2;4;1;2;200;4;2;4;2;1;1;
57;2;4;1;1;1;1;3;1;4;2;1;1000;4;3;3;2;5;9;
57;2;3;4;3;1;1;1;2;2;1;2;50;4;5;2;2;3;2;
56;1;3;4;3;2;1;2;2;4;2;1;1200;4;5;4;4;5;9;
58;1;2;4;1;1;1;2;2;4;2;2;1200;5;4;5;4;4;2;
57;2;4;4;3;3;1;2;3;5;2;1;1000;4;4;4;2;4;3;
46;1;4;5;6;1;1;2;2;3;2;2;100;5;3;3;3;3;1;
49;1;4;5;3;2;2;2;2;5;1;2;2000;5;5;4;4;2;4;
59;1;4;4;3;1;1;3;2;2;2;2;50;4;4;4;1;3;4;
36;1;1;1;1;1;2;1;4;3;1;2;200;5;5;5;2;2;1;
56;2;4;5;6;2;2;2;2;3;1;1;2000;4;5;5;4;2;1;
63;2;4;1;3;1;1;1;4;3;2;1;500;4;4;5;1;4;3;
51;2;4;6;3;2;2;4;3;3;1;2;1000;5;5;2;1;2;2;
54;2;4;5;3;2;2;6;2;3;1;2;300;4;4;4;3;3;1;
61;2;4;4;3;1;2;1;2;3;1;2;100;5;5;4;4;5;2;
57;2;4;4;3;2;1;1;2;3;1;2;200;5;3;4;1;1;2;
58;2;4;1;6;2;2;1;3;4;2;2;100;4;4;5;5;4;7;
66;2;3;1;3;2;2;1;2;4;1;2;200;4;5;5;4;4;3;
60;2;4;4;6;2;1;1;4;4;2;2;1000;4;5;5;2;5;3;
65;2;4;4;6;1;1;1;2;3;2;1;100;1;5;3;1;3;2;
57;1;4;5;3;1;2;4;4;4;1;2;1000;5;5;4;2;4;1;
57;2;4;4;3;1;2;3;2;4;1;2;250;4;4;4;3;3;2;
56;2;3;4;3;4;2;1;2;4;2;1;200;5;4;4;4;4;4;
54;1;4;4;3;1;2;2;3;5;2;2;5000;5;5;4;3;3;3;
60;2;3;1;6;2;1;1;2;4;2;2;500;5;5;5;4;3;3;
65;2;3;4;3;3;2;1;4;3;1;2;500;4;5;4;4;4;4;
58;2;4;4;3;3;1;1;2;4;2;2;500;5;4;5;3;3;2;
67;2;4;1;1;2;1;1;2;2;1;2;50;4;4;3;4;4;3;
42;1;2;4;3;2;2;4;2;4;2;2;500;4;4;4;2;4;4;
57;1;4;1;5;1;1;2;4;5;1;2;600;5;4;4;4;3;1;
65;2;4;5;6;4;1;3;2;4;2;2;1300;2;5;3;2;5;2;
52;2;4;4;3;2;1;2;2;3;1;2;100;4;5;4;2;3;4;
58;1;3;5;6;2;1;3;2;4;2;1;100;4;4;4;1;4;7;
56;2;4;4;1;1;2;2;3;4;1;2;200;4;5;5;4;3;2;
58;2;4;4;3;3;2;1;2;4;2;3;200;3;5;4;4;3;2;
57;2;4;5;6;1;2;2;3;4;1;2;300;4;5;4;2;3;2;
56;2;4;4;3;2;2;1;2;3;2;2;1000;4;4;4;4;4;2;
56;1;1;4;5;2;2;3;4;5;2;2;50;3;5;5;2;5;6;
56;1;4;4;3;2;1;5;3;3;1;2;200;4;5;4;4;2;4;
58;2;4;4;3;4;2;1;3;5;1;2;250;4;5;4;4;5;9;
57;1;4;4;3;2;1;4;2;4;2;2;1000;5;4;3;2;3;4;
23;1;3;5;4;2;1;5;3;4;2;1;100;5;4;3;2;3;3;
42;2;3;4;6;2;2;2;4;5;1;2;1000;3;5;4;3;3;1;
48;1;4;5;5;1;1;2;2;3;2;1;400;3;1;4;1;5;2;
58;2;2;4;5;1;1;2;2;3;2;2;20;4;5;4;2;3;2;
29;1;2;4;3;2;1;3;4;3;2;1;200;5;5;4;4;4;3;
55;1;4;3;1;2;1;3;2;3;2;2;50;3;3;3;4;3;2;
38;1;4;4;3;2;1;2;2;4;1;2;500;4;3;4;3;2;1;
25;1;1;4;4;2;2;3;4;3;2;2;500;5;5;5;3;4;4;
41;2;4;5;5;5;2;2;3;3;1;2;500;5;4;4;4;4;4;
56;1;3;5;3;2;2;3;2;4;1;2;500;3;4;4;4;4;2;
25;1;3;4;3;2;2;2;3;4;2;2;250;5;4;3;2;4;2;
23;2;2;4;4;2;2;2;3;5;1;1;900;4;5;3;2;4;2;
57;1;3;3;6;1;1;1;4;2;2;2;20;5;5;4;1;5;5;
43;1;3;5;3;2;2;3;2;4;1;2;200;5;5;4;2;4;4;
57;2;3;5;3;1;2;2;2;4;2;1;100;5;2;5;5;1;4;
57;2;4;4;3;1;2;2;3;5;2;2;1500;5;5;4;4;1;1;
57;2;4;4;3;1;2;3;2;4;1;2;250;5;3;4;4;4;2;
54;1;1;4;1;1;1;3;4;2;2;2;150;4;1;3;1;2;1;
